n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
39 35 25 12997200.00000000 875 34125 14853.94285714 380.87032967
40 18 23 9170400.00000000 414 16560 22150.72463768 553.76811594
40 17 5 4269800.00000000 85 3400 50232.94117647 1255.82352941
40 27 27 12078600.00000000 729 29160 16568.72427984 414.21810700
40 31 1 4090200.00000000 31 1240 131941.93548387 3298.54838710
40 23 39 15010300.00000000 897 35880 16733.89074693 418.34726867
40 1 25 3884900.00000000 25 1000 155396.00000000 3884.90000000
40 3 28 4240600.00000000 84 3360 50483.33333333 1262.08333333
40 10 16 6158800.00000000 160 6400 38492.50000000 962.31250000
40 9 32 8350500.00000000 288 11520 28994.79166667 724.86979167
40 20 17 7939800.00000000 340 13600 23352.35294118 583.80882353
41 33 25 13383100.00000000 825 33825 16221.93939394 395.65705839
41 15 15 6563100.00000000 225 9225 29169.33333333 711.44715447
41 34 16 10301200.00000000 544 22304 18936.02941176 461.85437590
41 25 23 11131000.00000000 575 23575 19358.26086957 472.15270414
41 10 38 9444100.00000000 380 15580 24852.89473684 606.16816431
41 13 23 6768500.00000000 299 12259 22637.12374582 552.12496941
41 26 34 16264600.00000000 884 36244 18398.86877828 448.75289703
41 41 33 20852400.00000000 1353 55473 15411.97339246 375.90179006
41 21 36 14741700.00000000 756 30996 19499.60317460 475.60007743
41 26 4 5207900.00000000 104 4264 50075.96153846 1221.36491557
42 16 30 11305900.00000000 480 20160 23553.95833333 560.80853175
42 11 41 9853700.00000000 451 18942 21848.55875831 520.20377996
42 11 26 9089300.00000000 286 12012 31780.76923077 756.68498168
42 28 16 10058400.00000000 448 18816 22451.78571429 534.56632653
42 39 2 5311300.00000000 78 3276 68093.58974359 1621.27594628
42 7 30 7899800.00000000 210 8820 37618.09523810 895.66893424
42 4 39 5151000.00000000 156 6552 33019.23076923 786.17216117
42 40 18 13544100.00000000 720 30240 18811.25000000 447.88690476
42 20 8 5692700.00000000 160 6720 35579.37500000 847.12797619
42 37 14 11138800.00000000 518 21756 21503.47490347 511.98749770
43 28 15 10764000.00000000 420 18060 25628.57142857 596.01328904
43 16 3 4547400.00000000 48 2064 94737.50000000 2203.19767442
